image,text
data/raw/books/week3_day1_book_001.png,ہسپتال سے ہی مجھے ایف آئی اے کے دفتر واقع کنز روڈ لے جایا گیا اور مجھے وہاں دو دن تک نظر بند رکھا گیا۔ میرے بھائی کو بھی مشروب کی ایک بوتل کے معاملے میں گرفتار کر کے یہاں لایا گیا۔ مجھے اکبر کے متعلق بہت افسوس ہوا اسے اس لیے سزا دی جارہی تھی کہ وہ میرا بھائی تھا۔ حالانکہ وہ نہیں بلکہ میں حکومت کا ہدف تھا۔ بہرحال ایف آئی اے والے غلطی پر تھے۔ قانون کے مطابق اگر آپ مسلمان ہیں تو بھی الکحل کی موجودگی کوئی جرم نہیں بلکہ صرف شراب نوشی ہی جرم تھی۔ یوں اکبر کی گرفتاری غلط تھی۔ میں نے افسر سے کہا کہ مشروب کی بوتل کی موجودگی کا الزام میرے خلاف عائد کر دیا جائے اور جس طرح میرے خلاف پہلے ہی بہت زیادہ الزامات عائد کیے گئے ہیں، ان میں ایک اور الزام کا بھی اضافہ کر دیا جائے۔ اسی دوران اکبر کو گھر واپس جانے کی اجازت دے دی گئی۔ تاہم افسر نے اپنے افسر اعلیٰ سے رابطہ کیا۔ اس نے کہا، ہم یہ نہیں کر سکتے، تمہارے بھائی کے خلاف مقدمہ پہلے ہی درج ہو چکا ہے، ہم اسے واپس نہیں لے سکتے۔ میں نے ضمانت کے لیے درخواست دی کیونکہ جن جرائم کا مجھے مرتکب ٹھہرایا گیا تھا، وہ قابل ضمانت تھے۔
data/raw/books/week3_day1_book_002.png,امپائر کی سب سے بڑی اور بنیادی ذمہ داری یہ ہے کہ وہ اس بات کو یقینی بنائے کہ کھیل ہر صورت کرکٹ کے قوانین کے مطابق چلایا جائے۔ اچھے کوچ کھلاڑیوں کو کھیل کے مطابق تیار رکھنے کے ساتھ ساتھ رواداری اور تہذیب کی پاسداری بھی سکھاتے ہیں۔ کپتان اس بات کے ذمہ دار ہوتے ہیں کہ کھیل اس کی روح کے مطابق کھیلا جائے۔ بالآخر امپائر، کھلاڑی، کپتان، عہدیدار اور تماشائی بھی اس ذمہ داری میں حصہ دار ہوتے ہیں۔ قوانین اور مقامی کھیل کے حالات سے پوری طرح واقفیت رکھنے والا اور پوری طرح آگاہ رہنے والا کوچ نہ صرف اپنی ٹیم کے لیے ہر ممکن فائدہ حاصل کرے گا بلکہ مناسب روایات، اقدار اور کھیل کی روح کو زندہ رکھنے میں اہم کردار کا حامل ہوگا۔ قوانین پر منعقد ہونے والے سیمینار میں شرکت، قوانین و ضوابط کا مطالعہ، کلب میں مشق اور پریکٹس کے دوران امپائر کو مدعو کرنا اور ان کی شمولیت کو یقینی بنانا، کھلاڑیوں کو مشق کروانا۔ کھلاڑیوں اور کوچ کے لیے ضروری ہے کہ اس بات کو یقینی بنائیں کہ کھیل مہذب مسابقت، ہمدردی، جوش و جذبے اور اس کی روح کے ساتھ کھیلا جائے۔
data/raw/books/week3_day1_book_003.png,مجھے مسلمان اور پاکستانی ہونے پر فخر ہے۔ میرا گھرانہ گزشتہ سات نسلوں سے پاکستان میں مقیم ہے۔ میں جب یہ کہتا ہوں کہ میری شعوری زندگی نے ایک آزاد قوم کے فرد کی حیثیت سے پاکستان کی تاریخ رقم کی تو قطعاً یہ کوئی مبالغہ اور خود ستائشی نہیں۔ میں اس سونی دھرتی کی تاریخ کے معاشی عروج و انحطاط، سماجی نشیب و فراز، کھیلوں کے شعبے میں کامیابیوں اور ناکامیوں اور طاقت کے ناعاقبت اندیش حکمرانوں کی پیدا کردہ مایوسیوں کا چشم دید گواہ ہوں۔ میں پاکستانی عوام کے معصوم دلوں، ان کے باطن میں تھم لینے والے بے نام خدشوں اور بھیانک ڈراؤنے خوابوں سے پیدا ہونے والے محسوسات اور خیالات سے بھی بخوبی آگاہ ہوں۔ میں سمجھتا ہوں کہ میں پاکستان کے بغیر کچھ نہیں۔ میں اس ملک اور اس کی تاریخ سے محض اس لیے واقف نہیں ہوں کہ میں یہاں پیدا ہوا یا مجھے اس ملک سے پیار ہے بلکہ اس ملک اور اس کی تاریخ سے میں اس لیے آشنا ہوں کہ میں اس ملک کے قدم بہ قدم اور شانہ بہ شانہ پلا بڑھا اور جوان ہوا۔ اس لیے میں کہہ سکتا ہوں کہ میں اور پاکستان ہم عمر ہیں۔
data/raw/books/week3_day1_book_004.png,تقدیم۔ پاکستان کے نوجوانوں کے نام۔ میں کون ہوں اور مجھے یہ کتاب پڑھنے کی ضرورت کیوں محسوس ہوئی؟ یہ کتاب میری زندگی کے نشیب و فراز کی گواہ اور بھرپور عکاس ہے۔ اسے میں نے اسی بھرپور جوش، توانائی اور خوش امیدی سے سرشار ہو کر تحریر کیا ہے جن کے سہارے میں نے اپنی ہمہ رنگ اور متنوع زندگی بسر کی ہے۔ ایک ایسی زندگی جو خوشگوار لمحوں کے جھرمٹ اور پریشانیوں کے ہجوم میں گھری ہوئی تھی۔ ایک طرف دنیائی خوش رنگ رعنائیاں مجھے کھینچ رہی تھیں تو دوسری جانب مشکلات قدم قدم اور سانس سانس میری راہوں میں پہاڑ بن کر کھڑی تھیں۔ اس کے باوجود میں شاہراہ زندگی پر رواں دواں رہا۔ میں رکا نہیں، ٹھہرا نہیں، جھکا نہیں اور بکھرا نہیں۔ بچپن سے لے کر جوانی کی منزل میں نے بخوبی سر کی۔ میں نے زندگی کا سفر کامیابی سے طے کیا۔ میں نے سب کچھ سخت محنت اور مسلسل جدوجہد کی بدولت حاصل کیا۔ اسی تناظر میں اپنی اس کتاب کو پاکستان کے نوجوان مرد و خواتین کے نام کرتا ہوں۔ میری دعا ہے کہ یہ کتاب انہیں شعور و ادراک کی روشنی عطا کرے۔ میری یہ بھی دعا ہے کہ میری یہ کوشش زندگی کے ہر نشیب و فراز میں ان کے لیے رہنما اور مددگار ثابت ہو۔ نوجوانوں کو ایک بہتر پاکستان اور روشن مستقبل کی نوید سے ہمکنار کرے۔ ایک ایسا بہتر پاکستان اور روشن مستقبل جہاں بیس کروڑ انسان عادلانہ، صاف ستھرے اور خوشحال معاشرے کی تشکیل کے لیے سرگرم عمل ہوں کیونکہ یہ ان کا استحقاق ہے۔
data/raw/newspaper/week3_day1_news_001.png,بھارت نے حملہ کیا تو منہ توڑ جواب دیں گے
data/raw/newspaper/week3_day1_news_002.png,پنجاب کے تعلیمی اداروں میں 23 دسمبر سے 6 جنوری تک تعطیلات کا اعلان
data/raw/newspaper/week3_day1_news_003.png,پاکستان جنوبی ایشیا میں ایسا علاقائی تعاون کا خواہاں ہے جو
data/raw/newspaper/week3_day1_news_005.png,2015 نواز خارجہ محاذ پر کامیابی کی نئی تاریخ رقم
data/raw/signboards/week3_day1_sign_001.jpg,جناح سپر سٹور
data/raw/signboards/week3_day1_sign_002.jpg,یہ پارکنگ صرف پاک گلوبل سٹیشنری کے
