image,text
data/processed/books/Screenshot 2026-07-03 023535.png,کسی نبی کے لیے اس کے قرابت دار جس درجہ بڑے ہو سکتے ہیں، تم اپنے نبی کے حق میں ایسے ہی بڑے ثابت ہوئے! تم نے مجھے جھٹلایا اور دوسرے لوگوں نے میری صداقت کی گواہی دی۔ تم نے مجھے وطن سے نکالا اور دوسرے لوگوں نے مجھے اپنے پاس رکھ لیا۔ تم میرے خلاف لڑنے اٹھے اور دوسرے لوگوں نے مجھے اپنا تعاون پیش کیا۔
data/processed/books/Screenshot 2026-07-03 023608.png,مسکراہٹ - اسوہ ایمان۔ Mind sciences کے مطابق مسکراہٹ یا Smile انسان کی آنکھوں میں حسن ہے جس کا تعلق وطن سے ہے جس کے اثرات ظاہر پر بھی آتے ہیں۔ جس طرح حواس خمسہ میں سے اگر آنکھیں ضائع ہو جائیں تو انسان اندھا اور معذور ہو جاتا ہے، مشکل و نقصان اٹھاتا ہے۔ اسی طرح اگر یہ آنکھوں کی حس مسکراہٹ ضائع ہو جائے یا ختم ہو جائے تو انسان باطنی، جسمانی، نفسیاتی و روحانی معذوری کا شکار ہو جاتا ہے۔ اس کتاب میں مسکراہٹ کے ساتھ ہمارے چھوٹے چھوٹے مسائل کو مزاح کے ذریعے سامنے لانے کی ایک کامیاب کوشش کی گئی ہے۔
data/processed/books/Screenshot 2026-07-03 023619.png,باتیں کینیڈا کی، ایک پاکستانی امیگرینٹ کی زبانی - فرخ سلیم۔ کہا جاتا ہے کہ کینیڈا میں آنے والے امیگرینٹس کے لیے پہلے تین سال بہت سخت ہوتے ہیں اور اس کے بعد وہ کنفیوژن کا عادی ہو جاتا ہے۔ یہ ڈائری محض ایک داستان ہی نہیں بلکہ اس میں کینیڈا کی ان اہم باتوں کا بھی احاطہ کرنے کی کوشش کی گئی ہے جو ایک امیگرینٹ کی زندگی پر دور رس نتائج مرتب کرتی ہیں اور جن سے وطن عزیز میں رہتے ہوئے واسطہ نہیں پڑتا۔ اس داستان میں آپ کو روزمرہ زندگی کے چھوٹے چھوٹے واقعات ملیں گے جو کینیڈین زندگی کے مختلف پہلوؤں کی طرف اشارہ کرتے ہیں۔
data/processed/books/Screenshot 2026-07-03 023630.png,اڑان - پروفیسر محمد یاسین۔ پروفیسر محمد یاسین کا یہ ناول کالج و یونیورسٹی کے طلباء کی زندگی، کالج لائف میں طلباء کا اپنے ہم جماعتوں کے ساتھ رویہ اور نمبروں کی دوڑ جیسے خوبصورت موضوع پر لکھا گیا ہے۔ امید ہے قارئین کو یہ ناول پڑھ کر اچھا لگے گا۔
data/processed/books/Screenshot 2026-07-03 023641.png,سیاست زندگی کی شاہراہ پر چلتے ہوئے اگر ایک دم ہی سے سامنے دوراہا آ جائے تو براہ فیصلہ کی مشکل گھڑی آ ہی جاتی ہے۔ زندگی میں انسان جب یہ فیصلہ کرنا چاہتا ہے کہ وہ کس سمت جائے، وہاں فیصلہ کرنے والی قوتیں کیا ہوتی ہیں؟ یہ ایک سوال ہی نہیں حقیقت بھی ہے۔ انسانی زندگی میں ایسے بہت سے مقام آتے ہیں جب اسے ایسے فیصلے کرنے پڑتے ہیں کہ وہ خود کسی طرف ہوتا ہے اور فیصلہ کسی دوسری طرف کرنا پڑتا ہے۔ وقت اور حالات کی سمت کسی دوسری طرف جا رہی ہوتی ہے۔ ایسے میں اچانک ناآسودہ خواہشوں کو آسودگی کی راہ مل جائے تو پھر کشش کہاں تک جا پہنچتی ہے؟ شعیب نے اپنی کہانی پشپا میں وقت کے اس دورانیے کو پیش کیا ہے جس میں ناآسودہ خواہشوں کو آسودگی کی راہ تو ملتی ہے لیکن زندگی کی حقیقتوں کا بھی سامنا کرنا پڑتا ہے۔
data/processed/books/Screenshot 2026-07-03 023653.png,صلہ - امین علی۔ ناول فلم و ڈرامہ انڈسٹری کے گرد گھومتا ہے۔ اس کے کردار اور زبان بہت عام فہم ہیں۔ جیسے اس ناول کا نام صلہ ہے ویسے ہی اس ناول کا مین کردار بھی ہے جو اپنے کام میں بہت نام کماتی ہے۔ امید ہے قارئین کو یہ ناول بہت پسند آئے گا۔
data/processed/books/Screenshot 2026-07-03 023706.png,تیری یاد شاخ گلاب - سدرہ تبسم
data/processed/books/Screenshot 2026-07-03 023750.png,غروب محبت - سمر احمد۔ اس ناول کی کہانی دو ایسی سہیلیوں قدسیہ اور حوریہ کے گرد گھومتی ہے جو عثمان سے محبت کرتی ہیں۔ عثمان قدسیہ سے شادی کرنا چاہتا ہے پر حوریہ عثمان اور قدسیہ کی محبت کے بارے میں اس کے گھر والوں کو بتا دیتی ہے تاکہ وہ کسی طرح عثمان سے شادی کر سکے۔ اس طرح حوریہ اپنی محبت کو حاصل کرنے میں کامیاب تو ہو جاتی ہے، لیکن عثمان کو حقیقت کا پتا چلتا ہے تو وہ حوریہ سے نفرت کرنا شروع کر دیتا ہے۔ اس طرح حوریہ اپنی محبت کو پا کر بھی ناکام رہتی ہے۔
data/processed/books/Screenshot 2026-07-03 023802.png,ہائے صلہ تم آ گئی۔ اف خدا! آج تک کسی کا اتنے سچے دل سے انتظار نہیں کیا جتنا آج تیرا کیا ہے جان من۔ وہ نکلی بھاری نو بجے پہنچی تھی اور مہمان پہلے سے موجود تھیں۔ زہرا اور امام میں ڈائننگ کے صوفے پر ڈھیر ہو گئی۔ نہ سلام نہ دعا، ایسی ہی گھر میں داخل ہو گئی۔
data/processed/books/Screenshot 2026-07-03 023929.png,غیر سرکاری نتائج کے مطابق مرکز اور صوبہ خیبر پختونخوا میں تحریک انصاف نے میدان مار لیا۔ پنجاب میں نون لیگ آگے آگے ہے۔ صوبہ سندھ میں پیپلز پارٹی نے کامیابی حاصل کی۔ کراچی میں ملک دشمن ایم کیو ایم کا صفایا ہو گیا۔ بلوچستان میں ملا جلا رجحان ہے۔ یہ نتائج وہی ہیں جس کی بین الاقوامی میڈیا نے بھی پیشگوئی کی تھی۔ پاکستان میں بھی تجزیہ کار یہی کہہ رہے تھے کہ اصل مقابلہ تحریک انصاف اور نون لیگ میں ہوگا اور تحریک انصاف کا پلڑا بھاری رہے گا۔
